location,Y,X(s),covariate num.,r^2,offset
west darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.7877321850372756,3
west darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.7771783460356061,3
white nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,2.220446049250313e-16,-4
white nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-4
white nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.1102230246251565e-16,-3
white nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-3
white nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-2
white nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-2
white nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-1
white nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-1
white nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,0
white nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,0
white nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,1
white nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,1
white nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,1.1102230246251565e-16,2
white nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,2
white nile,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,2.220446049250313e-16,3
white nile,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,3
east darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-4
east darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-4
east darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-3
east darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-3
east darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-2
east darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-2
east darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-1
east darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-1
east darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,0
east darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,0
east darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,1
east darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,1
east darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,2
east darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,2
east darfur,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,3
east darfur,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,3
gedaref,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-4
gedaref,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-4
gedaref,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-3
gedaref,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-3
gedaref,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,-2.220446049250313e-16,-2
gedaref,leaving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,,-2
gedaref,arriving_IDP,"['fatalities', 'anger', 'generic_terms', 'search_count']",4,0.0,-1
